start_x;start_y;end_x;end_y;other_point_x;other_point_y;position_x;
1.24733000e+05;3.25727648e-01;1.24778000e+05;1.96560938e-01;1.24739000e+05;7.28510482e-01;1.24739000e+05;
1.24847000e+05;4.25722088e-01;1.24863000e+05;-5.15634642e-02;1.24859000e+05;4.49491353e+00;1.24859000e+05;
1.2651200e+05;6.7284266e-01;1.26549000e+05;9.80443984e-01;1.26539000e+05;-6.26043067e+00;1.26539000e+05;
1.26926000e+05;-2.43048394e-01;1.26968000e+05;-3.34396862e-01;1.26959000e+05;2.81268961e+00;1.26959000e+05;
1.2803700e+05;3.4469747e-01;1.2806000e+05;7.6119107e-01;1.28039000e+05;-1.22430915e-02;1.28039000e+05;
1.28798000e+05;6.94216535e-01;1.28844000e+05;9.79360926e-01;1.28819000e+05;-4.03067524e+00;1.28819000e+05;
1.31274000e+05;1.34128271e-01;1.31283000e+05;3.50874272e-01;1.31279000e+05;-2.89579420e-01;1.31279000e+05;
1.31219000e+05;1.46533834e-01;1.31228000e+05;9.45239155e-03;1.31220000e+05;-1.19238599e+00;1.31219000e+05;
1.31339000e+05;1.73986399e-01;1.3134200e+05;1.4483082e-01;1.31340000e+05;-3.69586411e-01;1.31339000e+05;
1.31454000e+05;-2.41912285e-01;1.31464000e+05;-3.27448737e-01;1.31459000e+05;2.49905545e-01;1.31459000e+05;
